name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
Darkstar,Female,brown,Mutant,Blond,168,Marvel Comics,-,good,56
Darth Maul,Male,yellow / red,Dathomirian Zabrak,-,170,George Lucas,red / black,bad,0
Darth Vader,Male,yellow,Cyborg,No Hair,198,George Lucas,-,bad,135
Dash,Male,blue,Human,Blond,122,Dark Horse Comics,-,good,27
Data,Male,yellow,Android,Brown,0,Star Trek,-,good,0
Dazzler,Female,blue,Mutant,Blond,173,Marvel Comics,-,good,52
Deadman,Male,blue,Human,Black,183,DC Comics,-,good,90
Deadpool,Male,brown,Mutant,No Hair,188,Marvel Comics,-,neutral,95
Deadshot,Male,brown,Human,Brown,185,DC Comics,-,bad,91
Deathlok,Male,brown,Cyborg,Grey,193,Marvel Comics,-,good,178
Deathstroke,Male,blue,Human,White,193,DC Comics,-,neutral,101
Demogoblin,Male,red,Demon,No Hair,185,Marvel Comics,-,bad,95
Destroyer,Male,-,-,-,188,Marvel Comics,-,bad,383
Diamondback,Male,brown,Human,Black,193,Marvel Comics,-,bad,90
DL Hawkins,Male,-,-,-,0,NBC - Heroes,-,good,0
Doc Samson,Male,blue,Human / Radiation,Green,198,Marvel Comics,-,good,171
Doctor Doom,Male,brown,Human,Brown,201,Marvel Comics,-,bad,187
Doctor Doom II,Male,brown,-,Brown,201,Marvel Comics,-,bad,132
Doctor Fate,Male,blue,Human,Blond,188,DC Comics,-,good,89
Doctor Octopus,Male,brown,Human,Brown,175,Marvel Comics,-,bad,110
Doctor Strange,Male,grey,Human,Black,188,Marvel Comics,-,good,81
Domino,Female,blue,Human,Black,173,Marvel Comics,white,good,54
Donatello,Male,green,Mutant,No Hair,0,IDW Publishing,green,good,0
Donna Troy,Female,blue,Amazon,Black,175,DC Comics,-,good,63
Doomsday,Male,red,Alien,White,244,DC Comics,-,bad,412
Doppelganger,Male,white,-,No Hair,196,Marvel Comics,-,bad,104
Dormammu,Male,yellow,-,No Hair,185,Marvel Comics,-,bad,0
Dr Manhattan,Male,white,Human / Cosmic,No Hair,0,DC Comics,blue,good,0
Drax the Destroyer,Male,red,Human / Altered,No Hair,193,Marvel Comics,green,good,306
Ego,Other,-,-,-,0,Marvel Comics,-,bad,0
Elastigirl,Female,brown,Human,Brown,168,Dark Horse Comics,-,good,56
Electro,Male,blue,Human,Auburn,180,Marvel Comics,-,bad,74
Elektra,Female,blue,Human,Black,175,Marvel Comics,-,good,59
Elle Bishop,Female,blue,-,Blond,0,NBC - Heroes,-,bad,0
Elongated Man,Male,blue,-,Red,185,DC Comics,-,good,80
Emma Frost,Female,blue,-,Blond,178,Marvel Comics,-,good,65
Enchantress,Female,blue,Human,Blond,168,DC Comics,-,good,57
Energy,Female,-,-,-,0,HarperCollins,-,good,0
ERG-1,Male,-,-,-,0,DC Comics,-,good,0
Ethan Hunt,Male,brown,Human,Brown,168,none,-,good,0
Etrigan,Male,red,Demon,No Hair,193,DC Comics,yellow,neutral,203
Evil Deadpool,Male,white,Mutant,Red,188,Marvel Comics,-,bad,95
Evilhawk,Male,red,Alien,Black,191,Marvel Comics,green,bad,106
Exodus,Male,blue,Mutant,Black,183,Marvel Comics,red,bad,88
Fabian Cortez,Other,blue,-,Brown,196,Marvel Comics,-,bad,96
Falcon,Male,brown,Human,Black,188,Marvel Comics,-,good,108
Fallen One II,Male,black,-,Blue,0,Marvel Comics,-,bad,0
Faora,Female,-,Kryptonian,-,0,DC Comics,-,bad,0
Feral,Other,yellow (without irises),-,Orange / White,175,Marvel Comics,-,good,50
Fighting Spirit,Female,-,-,Red,0,DC Comics,-,good,0
Fin Fang Foom,Male,red,Kakarantharaian,No Hair,975,Marvel Comics,green,good,18
Firebird,Female,brown,-,Black,165,Marvel Comics,-,good,56
Firelord,Other,white,-,Yellow,193,Marvel Comics,-,good,99
Firestar,Female,green,Mutant,Red,173,Marvel Comics,-,good,56
Firestorm,Male,brown,-,Black,0,DC Comics,-,good,0
Firestorm,Male,blue,Human,Auburn,188,DC Comics,-,good,91
Fixer,Other,red,-,No Hair,0,Marvel Comics,-,bad,0
Flash,Male,blue,Human,Brown / White,180,DC Comics,-,good,81
Flash Gordon,Male,-,-,-,0,none,-,good,0
Flash II,Male,blue,Human,Blond,183,DC Comics,-,good,88
Flash III,Male,-,Human,-,183,DC Comics,-,good,86
Flash IV,Male,yellow,Human,Auburn,157,DC Comics,-,good,52
Forge,Other,brown,-,Black,183,Marvel Comics,-,good,81
Franklin Richards,Male,blue,Mutant,Blond,142,Marvel Comics,-,good,45
Franklin Storm,Other,blue,-,Grey,188,Marvel Comics,-,good,92
Frenzy,Female,brown,-,Black,211,Marvel Comics,-,bad,104
Frigga,Female,blue,-,White,180,Marvel Comics,-,good,167
Galactus,Male,black,Cosmic Entity,Black,876,Marvel Comics,-,neutral,16
Gambit,Male,red,Mutant,Brown,185,Marvel Comics,-,good,81
Gamora,Female,yellow,Zen-Whoberian,Black,183,Marvel Comics,green,good,77
Garbage Man,Male,-,Mutant,-,0,DC Comics,-,good,0
Gary Bell,Male,-,Alpha,-,0,SyFy,-,good,0
General Zod,Male,black,Kryptonian,Black,0,DC Comics,-,bad,0
Genesis,Male,blue,-,Blond,185,Marvel Comics,-,good,86
Ghost Rider,Male,red,Demon,No Hair,188,Marvel Comics,-,good,99
Ghost Rider II,Other,-,-,-,0,Marvel Comics,-,good,0
Giant-Man,Male,-,Human,-,0,Marvel Comics,-,good,0
Giant-Man II,Male,-,-,-,0,Marvel Comics,-,good,0
Giganta,Female,green,-,Red,62.5,DC Comics,-,bad,630
Gladiator,Male,blue,Strontian,Blue,198,Marvel Comics,purple,neutral,268
Goblin Queen,Female,green,-,Red,168,Marvel Comics,-,bad,50
Godzilla,Other,-,Kaiju,-,108,none,grey,bad,none
Gog,Male,-,-,-,0,DC Comics,-,bad,0
Goku,Male,-,Saiyan,-,175,Shueisha,-,good,62
Goliath,Male,-,-,-,0,Marvel Comics,-,good,0
Goliath,Male,-,Human,-,0,Marvel Comics,-,good,0
Goliath,Male,-,Human,-,0,Marvel Comics,-,good,0
Goliath IV,Male,brown,-,Black,183,Marvel Comics,-,good,90
Gorilla Grodd,Male,yellow,Gorilla,Black,198,DC Comics,-,bad,270
Granny Goodness,Female,blue,-,White,178,DC Comics,-,bad,115
Gravity,Male,blue,Human,Brown,178,Marvel Comics,-,good,79
Greedo,Male,purple,Rodian,-,170,George Lucas,green,bad,0
Green Arrow,Male,green,Human,Blond,188,DC Comics,-,good,88
Green Goblin,Male,blue,Human,Auburn,180,Marvel Comics,-,bad,83
Green Goblin II,Male,blue,-,Auburn,178,Marvel Comics,-,bad,77
Green Goblin III,Male,-,-,-,183,Marvel Comics,-,good,88
Green Goblin IV,Male,green,-,Brown,178,Marvel Comics,-,good,79
Groot,Male,yellow,Flora Colossus,-,701,Marvel Comics,-,good,4
Guardian,Male,brown,Human,Black,0,Marvel Comics,-,good,0
Guy Gardner,Male,blue,Human-Vuldarian,Red,188,DC Comics,-,good,95
Hal Jordan,Male,brown,Human,Brown,188,DC Comics,-,good,90
Han Solo,Male,brown,Human,Brown,183,George Lucas,-,good,79
Hancock,Male,brown,Human,Black,188,Sony Pictures,-,good,0
Harley Quinn,Female,blue,Human,Blond,170,DC Comics,-,bad,63
Harry Potter,Male,green,Human,Black,0,J. K. Rowling,-,good,0
Havok,Male,blue,Mutant,Blond,183,Marvel Comics,-,good,79
Hawk,Male,red,-,Brown,185,DC Comics,-,good,89
Hawkeye,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
Hawkeye II,Female,blue,Human,Black,165,Marvel Comics,-,good,57
Hawkgirl,Female,green,-,Red,175,DC Comics,-,good,61
Hawkman,Male,blue,-,Brown,185,DC Comics,-,good,88
Hawkwoman,Female,green,-,Red,175,DC Comics,-,good,54
Hawkwoman II,Female,-,-,-,0,DC Comics,-,good,0
Hawkwoman III,Female,blue,-,Red,170,DC Comics,-,good,65
Heat Wave,Male,blue,Human,No Hair,180,DC Comics,-,bad,81
Hela,Female,green,Asgardian,Black,213,Marvel Comics,-,bad,225
Hellboy,Male,gold,Demon,Black,259,Dark Horse Comics,-,good,158
Hellcat,Female,blue,Human,Red,173,Marvel Comics,-,good,61
Hellstorm,Male,red,-,Red,185,Marvel Comics,-,good,81
Hercules,Male,blue,Demi-God,Brown,196,Marvel Comics,-,good,146
Hiro Nakamura,Male,-,-,-,0,NBC - Heroes,-,good,0
Hit-Girl,Female,-,Human,-,0,Icon Comics,-,good,0
Hobgoblin,Male,blue,-,Grey,180,Marvel Comics,-,bad,83
Hollow,Female,blue,-,Red,170,Marvel Comics,-,good,0
Hope Summers,Female,green,-,Red,168,Marvel Comics,-,good,48
Howard the Duck,Male,brown,-,Yellow,79,Marvel Comics,-,good,18
Hulk,Male,green,Human / Radiation,Green,244,Marvel Comics,green,good,630
Human Torch,Male,blue,Human / Radiation,Blond,178,Marvel Comics,-,good,77
Huntress,Female,blue,-,Black,180,DC Comics,-,good,59
Husk,Female,blue,Mutant,Blond,170,Marvel Comics,-,good,58
Hybrid,Male,brown,Symbiote,Black,175,Marvel Comics,-,good,77
Hydro-Man,Male,brown,-,Brown,188,Marvel Comics,-,bad,119
Hyperion,Male,blue,Eternal,Red,183,Marvel Comics,-,good,207
Iceman,Male,brown,Mutant,Brown,173,Marvel Comics,-,good,65
Impulse,Male,yellow,Human,Auburn,170,DC Comics,-,good,65
Indiana Jones,Male,-,Human,-,183,George Lucas,-,good,79
Indigo,Female,-,Alien,Purple,0,DC Comics,-,neutral,0
Ink,Male,blue,Mutant,No Hair,180,Marvel Comics,-,good,81
Invisible Woman,Female,blue,Human / Radiation,Blond,168,Marvel Comics,-,good,54
Iron Fist,Male,blue,Human,Blond,180,Marvel Comics,-,good,79
Iron Man,Male,blue,Human,Black,198,Marvel Comics,-,good,191
Iron Monger,Male,blue,-,No Hair,0,Marvel Comics,-,bad,2
Isis,Female,-,-,-,0,DC Comics,-,good,0
Jack Bauer,Male,-,-,-,0,none,-,good,0
Jack of Hearts,Male,blue / white,Human,Brown,155,Marvel Comics,-,good,79
Jack-Jack,Male,blue,Human,Brown,71,Dark Horse Comics,-,good,14
James Bond,Male,blue,Human,Blond,183,Titan Books,-,good,0
James T. Kirk,Male,hazel,Human,Brown,178,Star Trek,-,good,77
Jar Jar Binks,Male,yellow,Gungan,-,193,George Lucas,orange / white,good,0
Jason Bourne,Male,-,Human,-,0,none,-,good,0
Jean Grey,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
Jean-Luc Picard,Male,-,Human,-,0,Star Trek,-,good,0
Jennifer Kale,Female,blue,-,Blond,168,Marvel Comics,-,good,55
Jesse Quick,Female,-,Human,-,0,DC Comics,-,good,0
Jessica Cruz,Female,green,Human,Brown,0,DC Comics,-,good,0
Jessica Jones,Female,brown,Human,Brown,170,Marvel Comics,-,good,56
Jessica Sanders,Female,-,-,-,0,NBC - Heroes,-,good,0
Jigsaw,Male,blue,-,Black,188,Marvel Comics,-,bad,113
Jim Powell,Male,-,-,-,0,ABC Studios,-,good,0
JJ Powell,Male,-,-,-,0,ABC Studios,-,good,0
Johann Krauss,Male,-,-,-,0,Dark Horse Comics,-,good,0
John Constantine,Male,blue,Human,Blond,183,DC Comics,-,good,0
John Stewart,Male,green,Human,Black,185,DC Comics,-,good,90
John Wraith,Male,brown,-,Black,183,Marvel Comics,-,good,88
Joker,Male,green,Human,Green,196,DC Comics,white,bad,86
Jolt,Female,blue,-,Black,165,Marvel Comics,-,good,49
Jubilee,Female,red,Mutant,Black,165,Marvel Comics,-,good,52
Judge Dredd,Male,-,Human,-,188,Rebellion,-,good,0
Juggernaut,Male,blue,Human,Red,287,Marvel Comics,-,neutral,855
Junkpile,Male,-,Mutant,-,0,Marvel Comics,-,bad,0
Justice,Male,hazel,Human,Brown,178,Marvel Comics,-,good,81
Jyn Erso,Female,green,Human,Brown,0,George Lucas,-,good,0
K-2SO,Male,white,Android,No Hair,213,George Lucas,gray,good,0
Kang,Male,brown,-,Brown,191,Marvel Comics,-,bad,104
Karate Kid,Male,brown,Human,Brown,173,DC Comics,-,good,72
Kathryn Janeway,Female,-,Human,-,0,Star Trek,-,good,0
Katniss Everdeen,Female,-,Human,-,0,none,-,good,0
Kevin 11,Male,-,Human,Black,0,DC Comics,-,good,0
Kick-Ass,Male,blue,Human,Blond,0,Icon Comics,-,good,0
Kid Flash,Male,green,Human,Red,0,DC Comics,-,good,0
Kid Flash II,Male,-,-,-,0,DC Comics,-,good,0
Killer Croc,Male,red,Metahuman,No Hair,244,DC Comics,green,bad,356
Killer Frost,Female,blue,Human,Blond,0,DC Comics,blue,bad,0
Kilowog,Male,red,Bolovaxian,No Hair,234,DC Comics,pink,good,324
King Kong,Male,yellow,Animal,Black,30.5,none,-,good,none
King Shark,Male,black,Animal,No Hair,0,DC Comics,-,bad,0
Kingpin,Male,blue,Human,No Hair,201,Marvel Comics,-,bad,203
Klaw,Male,red,Human,No Hair,188,Marvel Comics,red,bad,97
Kool-Aid Man,Male,black,-,No Hair,0,none,red,good,0
Kraven II,Male,brown,Human,Black,191,Marvel Comics,-,bad,99
Kraven the Hunter,Male,brown,Human,Black,183,Marvel Comics,-,bad,106
Krypto,Male,blue,Kryptonian,White,64,DC Comics,-,good,18
Kyle Rayner,Male,green,Human,Black,180,DC Comics,-,good,79
Kylo Ren,Male,-,Human,-,0,George Lucas,-,bad,0
Lady Bullseye,Female,-,-,Black,0,Marvel Comics,-,bad,0
Lady Deathstrike,Female,brown,Cyborg,Black,175,Marvel Comics,-,bad,58
Leader,Male,green,-,No Hair,178,Marvel Comics,-,bad,63
Leech,Male,-,-,-,0,Marvel Comics,-,good,0
Legion,Male,green / blue,Mutant,Black,175,Marvel Comics,-,good,59
